"","FG_Status","Female","nonwhite","LA","N","DDFW"
"1",0,0,0,0,314,68
"2",0,0,0,1,212,28
"3",0,0,1,0,316,133
"4",0,0,1,1,123,22
"5",0,1,0,0,70,14
"6",0,1,0,1,78,8
"7",0,1,1,0,73,20
"8",0,1,1,1,69,7
"9",1,0,0,0,134,41
"10",1,0,0,1,86,19
"11",1,0,1,0,316,119
"12",1,0,1,1,218,63
"13",1,1,0,0,33,7
"14",1,1,0,1,49,8
"15",1,1,1,0,86,23
"16",1,1,1,1,135,24
